[2025-10-23 12:45:09] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:45:09] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:45:09] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:45:09] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:45:09] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:45:16] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:45:16] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:45:16] [DEBUG] Total discount to apply: 78.5
[2025-10-23 12:45:16] [DEBUG] Total discount to apply: 378.5
[2025-10-23 12:45:16] [DEBUG] Total discount to apply: 378.5
[2025-10-23 12:45:16] [DEBUG] Total discount to apply: 378.5
[2025-10-23 12:45:16] [DEBUG] Total discount to apply: 378.5
[2025-10-23 12:48:43] [DEBUG] Total discount to apply: 150
[2025-10-23 12:48:43] [DEBUG] Total discount to apply: 150
[2025-10-23 12:48:43] [DEBUG] Total discount to apply: 150
[2025-10-23 12:48:43] [DEBUG] Total discount to apply: 150
[2025-10-23 12:48:43] [DEBUG] Total discount to apply: 150
[2025-10-23 12:48:43] [DEBUG] Total discount to apply: 150
[2025-10-23 12:48:48] [DEBUG] Total discount to apply: 100
[2025-10-23 12:48:48] [DEBUG] Total discount to apply: 100
[2025-10-23 12:48:48] [DEBUG] Total discount to apply: 100
[2025-10-23 12:48:48] [DEBUG] Total discount to apply: 100
[2025-10-23 12:48:48] [DEBUG] Total discount to apply: 100
[2025-10-23 12:48:48] [DEBUG] Total discount to apply: 100
[2025-10-23 12:49:11] [DEBUG] Total discount to apply: 100
[2025-10-23 12:49:12] [DEBUG] Total discount to apply: 100
[2025-10-23 12:49:12] [DEBUG] Total discount to apply: 100
[2025-10-23 12:49:12] [DEBUG] Total discount to apply: 100
[2025-10-23 12:52:05] [DEBUG] Total discount to apply: 100
[2025-10-23 12:52:05] [DEBUG] Total discount to apply: 100
[2025-10-23 12:52:05] [DEBUG] Total discount to apply: 100
[2025-10-23 12:52:05] [DEBUG] Total discount to apply: 150
[2025-10-23 12:52:05] [DEBUG] Total discount to apply: 150
[2025-10-23 12:52:05] [DEBUG] Total discount to apply: 150
[2025-10-23 12:52:05] [DEBUG] Total discount to apply: 150
[2025-10-23 12:52:14] [DEBUG] Total discount to apply: 150
[2025-10-23 12:52:14] [DEBUG] Total discount to apply: 150
